canonical_well_id,parameter_canonical,date,value,unit_standardized,severity_index,include_in_trend_figure
מק_חולון_5,CHLORIDE AS CL,2010-06-10,134.0,µg/L,5,true
מק_חולון_5,NITRATE AS NO3,2010-06-10,47.0,µg/L,3,true
מק_חולון_5,ARSENIC AS AS,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,BARIUM AS BA,2010-06-15,76.0,µg/L,4,true
מק_חולון_5,BENZENE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,CADMIUM AS CD,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,CALCIUM AS CA,2010-06-15,108.0,µg/L,5,true
מק_חולון_5,CARBON TETRACHLORIDE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,CHLOROFORM,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,CHROMIUM AS CR,2010-06-15,3.0,µg/L,1,true
מק_חולון_5,"CIS 1,2 DICHLOROETHYLENE",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,COBALT AS CO,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,COPPER AS CU,2010-06-15,3.0,µg/L,1,true
מק_חולון_5,"DIBROMO-3-CHLOROPROPA1,2 NE",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,"DICHLOROBENZEN 1,4",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,"DICHLOROETHANE1,2",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,"DICHLOROETHYLENE 1,1",2010-06-15,1.4,µg/L,1,true
מק_חולון_5,"DICHLOROPHENOXY ACETI2,4 C ACID",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,ETHYL BENZENE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,ETHYLENE DI BROMIDE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,IRON TOTAL AS FE,2010-06-15,44.0,µg/L,3,true
מק_חולון_5,LEAD AS PB,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,MAGNESIUM AS MG,2010-06-15,25.3,µg/L,3,true
מק_חולון_5,MANGANESE TOTAL AS MN,2010-06-15,8.0,µg/L,2,true
מק_חולון_5,MONOCHLOROBENZENE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5, MTBE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,NICKEL AS NI,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,POTASSIUM AS K,2010-06-15,1.4,µg/L,1,true
מק_חולון_5,SELENIUM AS SE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,SODIUM AS NA,2010-06-15,61.0,µg/L,4,true
מק_חולון_5,STRONTIUM AS SR,2010-06-15,689.0,µg/L,7,true
מק_חולון_5,STYRENE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,TETRACHLORO ETHYLENE,2010-06-15,0.2,µg/L,0,true
מק_חולון_5,TOLUENE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,"TRANS-1,2 DICHLOROETHYLENE",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,"TRICHLORO ETHANE 1,1,1",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,TRICHLORO ETHYLENE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,"TRICHLORO PHENOXY 2,4,5 PROPIO",2010-06-15,0.0,µg/L,0,true
מק_חולון_5,VINYL CHLORIDE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,XYLENE,2010-06-15,0.0,µg/L,0,true
מק_חולון_5,ZINC AS ZN,2010-06-15,15.0,µg/L,3,true
מק_חולון_5,CALCIUM AS CA,2010-07-19,107.0,µg/L,5,true
מק_חולון_5,MAGNESIUM AS MG,2010-07-19,25.6,µg/L,3,true
מק_חולון_5,POTASSIUM AS K,2010-07-19,1.4,µg/L,1,true
מק_חולון_5,SODIUM AS NA,2010-07-19,63.0,µg/L,4,true
מק_חולון_5,NITRITE AS NO2,2011-03-13,0.01,µg/L,0,true
מק_חולון_5,NITRITE AS NO2,2011-04-05,0.01,µg/L,0,true
מק_חולון_5,NITRITE AS NO2,2011-05-15,0.01,µg/L,0,true
מק_חולון_5,ALKALINITY M AS CACO3 (B),2011-06-20,229.0,µg/L,6,true
מק_חולון_5,AMMONIA AS NH4,2011-06-20,0.0,µg/L,0,true
מק_חולון_5,ARSENIC AS AS,2011-06-20,0.0,µg/L,0,true
מק_חולון_5,BARIUM AS BA,2011-06-20,78.0,µg/L,4,true
מק_חולון_5,BICARBONATE AS HCO3,2011-06-20,279.151,µg/L,6,true
מק_חולון_5,BORON AS B,2011-06-20,0.06,µg/L,0,true
מק_חולון_5,BROMIDE AS BR,2011-06-20,0.6,µg/L,0,true
מק_חולון_5,CADMIUM AS CD,2011-06-20,0.0,µg/L,0,true
מק_חולון_5,CALCIUM AS CA,2011-06-20,108.0,µg/L,5,true
מק_חולון_5,CHLORIDE AS CL,2011-06-20,139.0,µg/L,5,true
מק_חולון_5,CHROMIUM AS CR,2011-06-20,3.0,µg/L,1,true
