canonical_well_id,parameter_canonical,latest_value,latest_date,unit_standardized,dws_value,ratio_to_dws,severity_index,last_updated_from
נת_חולון_4,Chloromethane,2.33,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
נת_חולון_4,Tribromomethane,0.0,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
נת_חולון_4,Trichlorofluoromethane,0.0,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
נת_חולון_4,Chloroethane,0.0,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
נת_חולון_4,Bromo dichloromethane,0.0,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
נת_חולון_4,bromochloromethane,0.0,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
נת_חולון_4,"1,1,2,2-tetrachloroethane",0.0,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
נת_חולון_4,"1,1,1,2-tetrachloroethane",0.0,2010-06-08,µg/L,,,0,Holon_current_monitoring_2024
מק_חולון_5,"CIS 1,2 DICHLOROETHYLENE",0.0,2010-06-15,µg/L,50.0,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,COBALT AS CO,0.0,2010-06-15,µg/L,,,0,Holon_current_monitoring_2024
מק_חולון_5,"DICHLOROBENZEN 1,4",0.0,2010-06-15,µg/L,75.0,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,"DICHLOROETHANE1,2",0.0,2010-06-15,µg/L,4.0,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,"DICHLOROETHYLENE 1,1",1.4,2010-06-15,µg/L,10.0,14.0,3,Holon_current_monitoring_2024
מק_חולון_5,XYLENE,0.0,2010-06-15,µg/L,500.0,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,VINYL CHLORIDE,0.0,2010-06-15,µg/L,0.5,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,ETHYL BENZENE,0.0,2010-06-15,µg/L,300.0,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,TETRACHLORO ETHYLENE,0.2,2010-06-15,µg/L,10.0,2.0,1,Holon_current_monitoring_2024
מק_חולון_5,TOLUENE,0.0,2010-06-15,µg/L,700.0,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,"TRANS-1,2 DICHLOROETHYLENE",0.0,2010-06-15,µg/L,50.0,0.0,0,Holon_current_monitoring_2024
מק_חולון_5,"TRICHLORO ETHANE 1,1,1",0.0,2010-06-15,µg/L,200.0,0.0,0,Holon_current_monitoring_2024
