canonical_well_id,family,max_value_window,max_value_date,window_start,window_end,lead_parameter_by_family,ratio_to_dws,severity_index,dws_reference_value
מק_חולון_12,CVOC,0.0,2021-04-20,2021-02-16,2026-02-15,"1,1,2-trichloroethane",0.0,0,5.0
מק_חולון_12,FUEL,0.0,2021-04-20,2021-02-16,2026-02-15,BENZENE,0.0,0,5.0
מק_חולון_12,METALS,457.359,2021-04-20,2021-02-16,2026-02-15,HARDNESS AS CACO3,228.7,6,200.0
מק_חולון_12,PFAS,0.0,2023-06-05,2021-02-16,2026-02-15,Perfluorobutane Sulfonic Acid,0.0,0,0.1
מק_חולון_14,CVOC,8.7,2021-07-04,2021-02-16,2026-02-15,TRICHLORO ETHYLENE,116.0,5,7.5
מק_חולון_14,FUEL,0.0,2021-07-04,2021-02-16,2026-02-15,BENZENE,0.0,0,5.0
מק_חולון_14,METALS,297.978,2021-07-04,2021-02-16,2026-02-15,HARDNESS AS CACO3,149.0,5,200.0
מק_חולון_14,PFAS,0.0,2024-06-17,2021-02-16,2026-02-15,Perfluorobutane Sulfonic Acid,0.0,0,0.1
נד_אגד_אזור_1,FUEL,46000.0,2021-04-07,2021-02-16,2026-02-15, MTBE,115000.0,8,40.0
נד_אגד_אזור_1,METALS,0.72,2022-04-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_10,FUEL,893.0,2022-12-07,2021-02-16,2026-02-15, MTBE,2232.5,8,40.0
נד_אגד_אזור_10,METALS,1.01,2022-04-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_11,FUEL,4200.0,2021-04-07,2021-02-16,2026-02-15, MTBE,10500.0,8,40.0
נד_אגד_אזור_11,METALS,3.72,2022-04-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_12,FUEL,13700.0,2022-08-09,2021-02-16,2026-02-15, MTBE,34250.0,8,40.0
נד_אגד_אזור_12,METALS,3.45,2022-04-15,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_13,FUEL,2010.0,2022-04-15,2021-02-16,2026-02-15, MTBE,5025.0,8,40.0
נד_אגד_אזור_13,METALS,0.7,2022-12-07,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
נד_אגד_אזור_14,FUEL,94.0,2021-04-07,2021-02-16,2026-02-15, MTBE,235.0,6,40.0
נד_אגד_אזור_14,METALS,0.64,2021-04-07,2021-02-16,2026-02-15,DISSOLVED OXYGEN AS O2,,0,
