borehole_id,parameter,n,n5,has_detection,mk_z_5y,mk_p_5y,mk_z_full,mk_p_full,snr_5y,snr_full,analysis_mode,classification,trend_description,crossed_standard,drinking_water_standard
יו_מקוה_ישראל_29/2,CALCIUM AS CA,1,0,True,,,,,,,none,NONE,,False,80
יו_מקוה_ישראל_29/2,CHLORIDE AS CL,2,1,True,,,,,,,none,NONE,,False,400
יו_מקוה_ישראל_29/2,MAGNESIUM AS MG,1,0,True,,,,,,,none,NONE,,False,150
יו_מקוה_ישראל_29/2,NITRATE AS NO3,2,1,True,,,,,,,none,NONE,,False,70
יו_מקוה_ישראל_29/2,POTASSIUM AS K,1,0,True,,,,,,,none,NONE,,False,
יו_מקוה_ישראל_29/2,SODIUM AS NA,1,0,True,,,,,,,none,NONE,,False,
יו_מקוה_ישראל_29/2,SULFATE AS SO4,1,0,True,,,,,,,none,NONE,,False,250
מק_חולון_12, MTBE,6,1,False,,,,,,,none,NONE,,False,40
מק_חולון_12,"1,1,2-trichloroethane",5,1,False,,,,,,,none,NONE,,False,5
מק_חולון_12,"1,2,4-trichlorobenzene",5,1,False,,,,,,,none,NONE,,False,70
מק_חולון_12,"1,2-dichloropropane",5,1,False,,,,,,,none,NONE,,False,5
מק_חולון_12,"4,4-DDD",1,0,False,,,,,,,none,NONE,,False,
מק_חולון_12,ALACHLOR,6,1,False,,,,,,,none,NONE,,False,4
מק_חולון_12,ALDICRAB,6,1,False,,,,,,,none,NONE,,False,
מק_חולון_12,ALKALINITY M AS CACO3 (B),2,1,True,,,,,,,none,NONE,,False,
מק_חולון_12,ALPHA RADIOACTIVITY,1,1,True,,,,,,,none,NONE,,False,0.1
מק_חולון_12,ALUMINUM,5,1,True,,,-2.02116,0.0432627,0,1.66441,full_record,DECREASING,Declining trend (p=0.043); Mann-Kendall Z=-2.02 (full record — 5-year window insufficient),False,200
מק_חולון_12,AMMONIA AS NH4,1,0,False,,,,,,,none,NONE,,False,
מק_חולון_12,ANTIMONY,3,1,False,,,,,,,none,NONE,,False,6
