canonical_id,name_he,param_code,param_name,date,year,concentration,unit,is_below_lod,sample_id,lab,sample_depth_m,drinking_water_standard,percent_of_standard
נד_פז_סיירים_3,נד פז סיירים 3,BENZENE,BENZENE,2018-07-01,2018,2.0,microgr/L,False,,,,5.0,40.0
נד_פז_סיירים_3,נד פז סיירים 3,ETHYL BENZENE,ETHYL BENZENE,2018-07-01,2018,62.0,microgr/L,False,,,,300.0,20.67
נד_פז_סיירים_3,נד פז סיירים 3, MTBE,MTBE,2018-07-01,2018,280.0,microgr/L,False,,,,40.0,700.0
נד_פז_סיירים_3,נד פז סיירים 3,TOLUENE,TOLUENE,2018-07-01,2018,0.0,microgr/L,False,,,,700.0,0.0
נד_פז_סיירים_3,נד פז סיירים 3,XYLENE,XYLENE,2018-07-01,2018,2.0,microgr/L,False,,,,500.0,0.4
נד_פז_סיירים_3,נד פז סיירים 3,BENZENE,BENZENE,2019-02-27,2019,0.5,microgr/L,False,,,,5.0,10.0
נד_פז_סיירים_3,נד פז סיירים 3,ETHYL BENZENE,ETHYL BENZENE,2019-02-27,2019,1.0,microgr/L,False,,,,300.0,0.33
נד_פז_סיירים_3,נד פז סיירים 3, MTBE,MTBE,2019-02-27,2019,14.0,microgr/L,False,,,,40.0,35.0
נד_פז_סיירים_3,נד פז סיירים 3,TOLUENE,TOLUENE,2019-02-27,2019,5.0,microgr/L,False,,,,700.0,0.71
נד_פז_סיירים_3,נד פז סיירים 3,XYLENE,XYLENE,2019-02-27,2019,2.0,microgr/L,False,,,,500.0,0.4
נד_פז_סיירים_3,נד פז סיירים 3,BENZENE,BENZENE,2019-06-04,2019,15.0,microgr/L,False,,,,5.0,300.0
נד_פז_סיירים_3,נד פז סיירים 3,ETHYL BENZENE,ETHYL BENZENE,2019-06-04,2019,13.0,microgr/L,False,,,,300.0,4.33
נד_פז_סיירים_3,נד פז סיירים 3, MTBE,MTBE,2019-06-04,2019,4.0,microgr/L,False,,,,40.0,10.0
נד_פז_סיירים_3,נד פז סיירים 3,TOLUENE,TOLUENE,2019-06-04,2019,14.0,microgr/L,False,,,,700.0,2.0
נד_פז_סיירים_3,נד פז סיירים 3,XYLENE,XYLENE,2019-06-04,2019,145.0,microgr/L,False,,,,500.0,29.0
נד_פז_סיירים_3,נד פז סיירים 3,BENZENE,BENZENE,2020-06-21,2020,0.5,microgr/L,True,,,,5.0,10.0
נד_פז_סיירים_3,נד פז סיירים 3,ETHYL BENZENE,ETHYL BENZENE,2020-06-21,2020,5.0,microgr/L,False,,,,300.0,1.67
נד_פז_סיירים_3,נד פז סיירים 3, MTBE,MTBE,2020-06-21,2020,1.0,microgr/L,False,,,,40.0,2.5
נד_פז_סיירים_3,נד פז סיירים 3,TOLUENE,TOLUENE,2020-06-21,2020,5.0,microgr/L,True,,,,700.0,0.71
נד_פז_סיירים_3,נד פז סיירים 3,XYLENE,XYLENE,2020-06-21,2020,2.0,microgr/L,True,,,,500.0,0.4
נד_פז_סיירים_3,נד פז סיירים 3,BENZENE,BENZENE,2021-02-23,2021,1.0,microgr/L,False,,,,5.0,20.0
נד_פז_סיירים_3,נד פז סיירים 3,ETHYL BENZENE,ETHYL BENZENE,2021-02-23,2021,3.0,microgr/L,False,,,,300.0,1.0
נד_פז_סיירים_3,נד פז סיירים 3, MTBE,MTBE,2021-02-23,2021,0.8,microgr/L,False,,,,40.0,2.0
נד_פז_סיירים_3,נד פז סיירים 3,TOLUENE,TOLUENE,2021-02-23,2021,6.0,microgr/L,False,,,,700.0,0.86
נד_פז_סיירים_3,נד פז סיירים 3,XYLENE,XYLENE,2021-02-23,2021,10.0,microgr/L,False,,,,500.0,2.0
נד_פז_סיירים_3,נד פז סיירים 3,BENZENE,BENZENE,2021-12-02,2021,5.0,microgr/L,True,,,,5.0,100.0
