borehole,name_he,family,param_code,param_name,first_sample_date,last_sample_date,n_samples,years_covered_count,last_year,monitoring_active_2024_or_later,trend_possible
מק_חולון_5,מק חולון 5,METALS,ARSENIC AS AS,ARSENIC AS AS,2010-06-15,2011-06-20,2,2,2011,False,False
מק_חולון_5,מק חולון 5,FUEL,BENZENE,BENZENE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,METALS,CADMIUM AS CD,CADMIUM AS CD,2010-06-15,2011-06-20,2,2,2011,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,CHLOROFORM,CHLOROFORM,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2010-06-15,2011-06-20,2,2,2011,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,FUEL,ETHYL BENZENE,ETHYL BENZENE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,METALS,LEAD AS PB,LEAD AS PB,2010-06-15,2011-06-20,2,2,2011,False,False
מק_חולון_5,מק חולון 5,FUEL, MTBE,MTBE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,METALS,NICKEL AS NI,NICKEL AS NI,2010-06-15,2011-06-20,2,2,2011,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,FUEL,TOLUENE,TOLUENE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,FUEL,XYLENE,XYLENE,2010-06-15,2010-06-15,1,1,2010,False,False
מק_חולון_5,מק חולון 5,METALS,MERCURY AS HG,MERCURY AS HG,2011-06-20,2011-06-20,1,1,2011,False,False
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,BENZENE,BENZENE,2016-11-09,2025-05-25,15,10,2025,True,True
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,ETHYL BENZENE,ETHYL BENZENE,2016-11-09,2025-05-25,15,10,2025,True,True
נד_פז_סיירים_2,נד פז סיירים 2,FUEL, MTBE,MTBE,2016-11-09,2025-05-25,15,10,2025,True,True
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,TOLUENE,TOLUENE,2016-11-09,2025-05-25,15,10,2025,True,True
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,XYLENE,XYLENE,2016-11-09,2025-05-25,15,10,2025,True,True
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,BENZENE,BENZENE,2018-07-01,2024-06-17,4,4,2024,True,False
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,ETHYL BENZENE,ETHYL BENZENE,2018-07-01,2024-06-17,4,4,2024,True,False
נד_פז_סיירים_4,נד פז סיירים 4,FUEL, MTBE,MTBE,2018-07-01,2024-06-17,4,4,2024,True,False
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,TOLUENE,TOLUENE,2018-07-01,2024-06-17,4,4,2024,True,False
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,XYLENE,XYLENE,2018-07-01,2024-06-17,4,4,2024,True,False
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,METALS,ARSENIC AS AS,ARSENIC AS AS,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,METALS,CADMIUM AS CD,CADMIUM AS CD,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,CHLOROFORM,CHLOROFORM,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,METALS,LEAD AS PB,LEAD AS PB,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,METALS,NICKEL AS NI,NICKEL AS NI,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2021-04-20,2021-04-20,1,1,2021,False,False
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,BENZENE,BENZENE,2018-07-01,2025-05-25,12,8,2025,True,True
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,ETHYL BENZENE,ETHYL BENZENE,2018-07-01,2025-05-25,12,8,2025,True,True
נד_פז_סיירים_3,נד פז סיירים 3,FUEL, MTBE,MTBE,2018-07-01,2025-05-25,12,8,2025,True,True
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,TOLUENE,TOLUENE,2018-07-01,2025-05-25,12,8,2025,True,True
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,XYLENE,XYLENE,2018-07-01,2025-05-25,12,8,2025,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2010-11-01,2024-11-18,9,9,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,ARSENIC AS AS,ARSENIC AS AS,2010-11-01,2023-08-13,8,8,2023,False,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,BENZENE,BENZENE,2010-11-01,2024-11-18,10,10,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,CADMIUM AS CD,CADMIUM AS CD,2010-11-01,2023-08-13,8,8,2023,False,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2010-11-01,2024-11-18,9,9,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,CHLOROFORM,CHLOROFORM,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2010-11-01,2023-08-13,10,10,2023,False,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2010-11-01,2024-11-18,9,9,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,ETHYL BENZENE,ETHYL BENZENE,2010-11-01,2024-11-18,9,9,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,LEAD AS PB,LEAD AS PB,2010-11-01,2023-08-13,8,8,2023,False,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL, MTBE,MTBE,2010-11-01,2024-11-18,10,10,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,NICKEL AS NI,NICKEL AS NI,2010-11-01,2023-08-13,9,9,2023,False,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,TOLUENE,TOLUENE,2010-11-01,2024-11-18,10,10,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2010-11-01,2024-11-18,11,11,2024,True,True
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,XYLENE,XYLENE,2010-11-01,2024-11-18,10,10,2024,True,True
