borehole,name_he,family,param_code,param_name,date,concentration,unit,drinking_water_standard,pct_of_standard,year
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2013-07-11,9.4,microgr/L,7.5,125.33,2013
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2016-06-28,7.9,microgr/L,7.5,105.33,2016
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2016-11-28,9.4,microgr/L,7.5,125.33,2016
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2017-03-27,8.1,microgr/L,7.5,108.0,2017
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2017-06-11,8.9,microgr/L,7.5,118.67,2017
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2017-08-21,7.6,microgr/L,7.5,101.33,2017
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2017-11-14,9.4,microgr/L,7.5,125.33,2017
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2018-02-05,9.5,microgr/L,7.5,126.67,2018
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2018-06-12,7.6,microgr/L,7.5,101.33,2018
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2018-12-24,8.8,microgr/L,7.5,117.33,2018
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-01-28,7.9,microgr/L,7.5,105.33,2019
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-02-25,8.4,microgr/L,7.5,112.0,2019
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-04-30,8.1,microgr/L,7.5,108.0,2019
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-10-22,7.7,microgr/L,7.5,102.67,2019
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-12-24,7.8,microgr/L,7.5,104.0,2019
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2021-07-04,8.7,microgr/L,7.5,116.0,2021
מק_חולון_14,מק חולון 14,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2025-04-07,7.59,microgr/L,7.5,101.2,2025
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2017-02-15,38600.0,microgr/L,40.0,96500.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2017-04-09,29670.0,microgr/L,40.0,74175.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2017-07-17,17500.0,microgr/L,40.0,43750.0,2017
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2018-10-25,25044.0,microgr/L,40.0,62610.0,2018
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2019-04-01,16292.0,microgr/L,40.0,40730.0,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2019-07-17,21487.0,microgr/L,40.0,53717.5,2019
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2020-08-03,2632.4,microgr/L,40.0,6581.0,2020
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2020-12-31,16759.0,microgr/L,40.0,41897.5,2020
נד_אגד_אזור_1,נד אגד אזור 1,FUEL, MTBE,MTBE,2021-04-07,46000.0,microgr/L,40.0,115000.0,2021
