borehole,name_he,family,param_code,param_name,latest_date,latest_concentration,unit,drinking_water_standard,pct_of_standard
מק_חולון_5,מק חולון 5,METALS,ARSENIC AS AS,ARSENIC AS AS,2011-06-20,0.0,microgr/L,10.0,0.0
מק_חולון_5,מק חולון 5,FUEL,BENZENE,BENZENE,2010-06-15,0.0,microgr/L,5.0,0.0
מק_חולון_5,מק חולון 5,METALS,CADMIUM AS CD,CADMIUM AS CD,2011-06-20,0.0,microgr/L,5.0,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2010-06-15,0.0,microgr/L,4.0,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,CHLOROFORM,CHLOROFORM,2010-06-15,0.0,microgr/L,80.0,0.0
מק_חולון_5,מק חולון 5,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2011-06-20,3.0,microgr/L,50.0,6.0
מק_חולון_5,מק חולון 5,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2010-06-15,0.0,microgr/L,50.0,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2010-06-15,0.0,microgr/L,4.0,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2010-06-15,1.4,microgr/L,10.0,14.0
מק_חולון_5,מק חולון 5,FUEL,ETHYL BENZENE,ETHYL BENZENE,2010-06-15,0.0,microgr/L,300.0,0.0
מק_חולון_5,מק חולון 5,METALS,LEAD AS PB,LEAD AS PB,2011-06-20,0.0,microgr/L,10.0,0.0
מק_חולון_5,מק חולון 5,FUEL, MTBE,MTBE,2010-06-15,0.0,microgr/L,40.0,0.0
מק_חולון_5,מק חולון 5,METALS,NICKEL AS NI,NICKEL AS NI,2011-06-20,0.0,microgr/L,20.0,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2010-06-15,0.2,microgr/L,10.0,2.0
מק_חולון_5,מק חולון 5,FUEL,TOLUENE,TOLUENE,2010-06-15,0.0,microgr/L,700.0,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2010-06-15,0.0,microgr/L,50.0,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2010-06-15,0.0,microgr/L,7.5,0.0
מק_חולון_5,מק חולון 5,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2010-06-15,0.0,microgr/L,0.5,0.0
מק_חולון_5,מק חולון 5,FUEL,XYLENE,XYLENE,2010-06-15,0.0,microgr/L,500.0,0.0
מק_חולון_5,מק חולון 5,METALS,MERCURY AS HG,MERCURY AS HG,2011-06-20,0.0,microgr/L,1.0,0.0
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,BENZENE,BENZENE,2025-05-25,7.0,microgr/L,5.0,140.0
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,ETHYL BENZENE,ETHYL BENZENE,2025-05-25,52.0,microgr/L,300.0,17.33
נד_פז_סיירים_2,נד פז סיירים 2,FUEL, MTBE,MTBE,2025-05-25,12.0,microgr/L,40.0,30.0
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,TOLUENE,TOLUENE,2025-05-25,6.0,microgr/L,700.0,0.86
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,XYLENE,XYLENE,2025-05-25,0.73,microgr/L,500.0,0.15
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,BENZENE,BENZENE,2024-06-17,5.0,microgr/L,5.0,100.0
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-06-17,83.0,microgr/L,300.0,27.67
נד_פז_סיירים_4,נד פז סיירים 4,FUEL, MTBE,MTBE,2024-06-17,5.0,microgr/L,40.0,12.5
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,TOLUENE,TOLUENE,2024-06-17,5.0,microgr/L,700.0,0.71
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,XYLENE,XYLENE,2024-06-17,416.0,microgr/L,500.0,83.2
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2021-04-20,0.0,microgr/L,,
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2021-04-20,0.0,microgr/L,,
נד_פז_סיירים_4,נד פז סיירים 4,METALS,ARSENIC AS AS,ARSENIC AS AS,2021-04-20,0.0,microgr/L,10.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,CADMIUM AS CD,CADMIUM AS CD,2021-04-20,0.0,microgr/L,5.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2021-04-20,0.0,microgr/L,4.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,CHLOROFORM,CHLOROFORM,2021-04-20,0.0,microgr/L,80.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2021-04-20,2.5,microgr/L,50.0,5.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2021-04-20,0.0,microgr/L,50.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2021-04-20,0.0,microgr/L,4.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2021-04-20,0.0,microgr/L,10.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,LEAD AS PB,LEAD AS PB,2021-04-20,0.0,microgr/L,10.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,NICKEL AS NI,NICKEL AS NI,2021-04-20,240.38,microgr/L,20.0,1201.9
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2021-04-20,0.0,microgr/L,10.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2021-04-20,0.0,microgr/L,50.0,0.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2021-04-20,0.0,microgr/L,7.5,0.0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2021-04-20,0.0,microgr/L,0.5,0.0
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,BENZENE,BENZENE,2025-05-25,5.0,microgr/L,5.0,100.0
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,ETHYL BENZENE,ETHYL BENZENE,2025-05-25,5.0,microgr/L,300.0,1.67
נד_פז_סיירים_3,נד פז סיירים 3,FUEL, MTBE,MTBE,2025-05-25,12.0,microgr/L,40.0,30.0
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,TOLUENE,TOLUENE,2025-05-25,5.0,microgr/L,700.0,0.71
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,XYLENE,XYLENE,2025-05-25,5.0,microgr/L,500.0,1.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2024-11-18,1.0,microgr/L,,
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,ARSENIC AS AS,ARSENIC AS AS,2023-08-13,0.0,microgr/L,10.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,BENZENE,BENZENE,2024-11-18,0.0,microgr/L,5.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,CADMIUM AS CD,CADMIUM AS CD,2023-08-13,0.0,microgr/L,5.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2024-11-18,0.0,microgr/L,4.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,CHLOROFORM,CHLOROFORM,2024-11-18,0.0,microgr/L,80.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2023-08-13,0.0,microgr/L,50.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2024-11-18,0.0,microgr/L,50.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2024-11-18,0.0,microgr/L,4.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2024-11-18,0.0,microgr/L,10.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-11-18,0.0,microgr/L,300.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,LEAD AS PB,LEAD AS PB,2023-08-13,0.0,microgr/L,10.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL, MTBE,MTBE,2024-11-18,0.0,microgr/L,40.0,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,NICKEL AS NI,NICKEL AS NI,2023-08-13,13.8,microgr/L,20.0,69.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2024-11-18,1.0,microgr/L,10.0,10.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,TOLUENE,TOLUENE,2024-11-18,1.0,microgr/L,700.0,0.14
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2024-11-18,1.0,microgr/L,50.0,2.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2024-11-18,1.0,microgr/L,7.5,13.33
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2024-11-18,0.0,microgr/L,0.5,0.0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,XYLENE,XYLENE,2024-11-18,3.0,microgr/L,500.0,0.6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2024-11-18,1.0,microgr/L,,
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,n-Butyl benzene,n-Butyl benzene,2017-06-18,0.0,microgr/L,,
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,o-Xylene ,o-Xylene,2017-06-18,0.0,microgr/L,,
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,p-isopropyl toluene,p-isopropyl toluene,2015-07-12,0.0,microgr/L,,
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,p-xylene,p-xylene,2015-07-12,0.0,microgr/L,,
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"1,4 DIOXANE","1,4 DIOXANE",2026-02-10,0.0,microgr/L,3.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2024-11-18,0.0,microgr/L,,
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,ARSENIC AS AS,ARSENIC AS AS,2023-08-13,0.0,microgr/L,10.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,BENZENE,BENZENE,2024-11-18,0.0,microgr/L,5.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,CADMIUM AS CD,CADMIUM AS CD,2023-08-13,0.0,microgr/L,5.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2024-11-18,0.0,microgr/L,4.0,0.0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,CHLOROFORM,CHLOROFORM,2024-11-18,1.0,microgr/L,80.0,1.25
