borehole,name_he,family,param_code,param_name,max_date,max_concentration,unit,drinking_water_standard,pct_of_standard,n_since_2018
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,BENZENE,BENZENE,2019-06-04,1694.0,microgr/L,5.0,33880.0,12
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,ETHYL BENZENE,ETHYL BENZENE,2022-12-18,2718.0,microgr/L,300.0,906.0,12
נד_פז_סיירים_2,נד פז סיירים 2,FUEL, MTBE,MTBE,2018-07-01,42660.0,microgr/L,40.0,106650.0,12
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,TOLUENE,TOLUENE,2018-07-01,590.0,microgr/L,700.0,84.29,12
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,XYLENE,XYLENE,2019-06-04,6618.0,microgr/L,500.0,1323.6,12
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,BENZENE,BENZENE,2018-07-01,70.0,microgr/L,5.0,1400.0,4
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,ETHYL BENZENE,ETHYL BENZENE,2024-06-17,83.0,microgr/L,300.0,27.67,4
נד_פז_סיירים_4,נד פז סיירים 4,FUEL, MTBE,MTBE,2018-07-01,450.0,microgr/L,40.0,1125.0,4
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,TOLUENE,TOLUENE,2018-07-01,300.0,microgr/L,700.0,42.86,4
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,XYLENE,XYLENE,2024-06-17,416.0,microgr/L,500.0,83.2,4
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2021-04-20,0.0,microgr/L,,,1
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2021-04-20,0.0,microgr/L,,,1
נד_פז_סיירים_4,נד פז סיירים 4,METALS,ARSENIC AS AS,ARSENIC AS AS,2021-04-20,0.0,microgr/L,10.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,METALS,CADMIUM AS CD,CADMIUM AS CD,2021-04-20,0.0,microgr/L,5.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2021-04-20,0.0,microgr/L,4.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,CHLOROFORM,CHLOROFORM,2021-04-20,0.0,microgr/L,80.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2021-04-20,2.5,microgr/L,50.0,5.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2021-04-20,0.0,microgr/L,50.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2021-04-20,0.0,microgr/L,4.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2021-04-20,0.0,microgr/L,10.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,METALS,LEAD AS PB,LEAD AS PB,2021-04-20,0.0,microgr/L,10.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,METALS,NICKEL AS NI,NICKEL AS NI,2021-04-20,240.38,microgr/L,20.0,1201.9,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2021-04-20,0.0,microgr/L,10.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2021-04-20,0.0,microgr/L,50.0,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2021-04-20,0.0,microgr/L,7.5,0.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2021-04-20,0.0,microgr/L,0.5,0.0,1
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,BENZENE,BENZENE,2019-06-04,15.0,microgr/L,5.0,300.0,12
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,ETHYL BENZENE,ETHYL BENZENE,2018-07-01,62.0,microgr/L,300.0,20.67,12
נד_פז_סיירים_3,נד פז סיירים 3,FUEL, MTBE,MTBE,2018-07-01,280.0,microgr/L,40.0,700.0,12
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,TOLUENE,TOLUENE,2019-06-04,14.0,microgr/L,700.0,2.0,12
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,XYLENE,XYLENE,2019-06-04,145.0,microgr/L,500.0,29.0,12
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,"1,2,4 TRIMETHYLBENZENE","1,2,4 TRIMETHYLBENZENE",2024-11-18,1.0,microgr/L,,,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,ARSENIC AS AS,ARSENIC AS AS,2018-08-06,0.0,microgr/L,10.0,0.0,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,BENZENE,BENZENE,2018-08-06,0.0,microgr/L,5.0,0.0,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,CADMIUM AS CD,CADMIUM AS CD,2020-09-16,2.5,microgr/L,5.0,50.0,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2020-09-16,0.0,microgr/L,4.0,0.0,4
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,CHLOROFORM,CHLOROFORM,2018-08-06,0.0,microgr/L,80.0,0.0,6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,CHROMIUM AS CR,CHROMIUM AS CR,2020-09-16,5.0,microgr/L,50.0,10.0,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2018-08-06,0.0,microgr/L,50.0,0.0,6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"DICHLOROETHANE1,2","DICHLOROETHANE1,2",2020-09-16,0.0,microgr/L,4.0,0.0,4
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2018-08-06,0.0,microgr/L,10.0,0.0,6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,ETHYL BENZENE,ETHYL BENZENE,2018-08-06,0.0,microgr/L,300.0,0.0,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,LEAD AS PB,LEAD AS PB,2018-08-06,0.0,microgr/L,10.0,0.0,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL, MTBE,MTBE,2018-08-06,0.0,microgr/L,40.0,0.0,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,NICKEL AS NI,NICKEL AS NI,2018-08-06,459.193,microgr/L,20.0,2295.97,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2019-06-16,6.7,microgr/L,10.0,67.0,6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,TOLUENE,TOLUENE,2022-06-15,1.0,microgr/L,700.0,0.14,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2024-11-18,1.0,microgr/L,50.0,2.0,6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2019-06-16,10.01,microgr/L,7.5,133.47,6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,VINYL CHLORIDE,VINYL CHLORIDE,2018-08-06,0.0,microgr/L,0.5,0.0,6
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,XYLENE,XYLENE,2022-06-15,4.68,microgr/L,500.0,0.94,5
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,"1,3,5 TRIMETHYLBENZENE","1,3,5 TRIMETHYLBENZENE",2024-11-18,1.0,microgr/L,,,5
