borehole,name_he,family,canonical_param,param_code,param_name,date,concentration,unit,drinking_water_standard,pct_of_standard,bucket
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,Benzene,BENZENE,BENZENE,2025-05-25,7.0,microgr/L,5.0,140.0,4
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2025-05-25,52.0,microgr/L,300.0,17.33,1
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,MTBE, MTBE,MTBE,2025-05-25,12.0,microgr/L,40.0,30.0,1
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,Toluene,TOLUENE,TOLUENE,2025-05-25,6.0,microgr/L,700.0,0.86,1
נד_פז_סיירים_2,נד פז סיירים 2,FUEL,Xylene,XYLENE,XYLENE,2025-05-25,0.73,microgr/L,500.0,0.15,1
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,Benzene,BENZENE,BENZENE,2024-06-17,5.0,microgr/L,5.0,100.0,4
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2024-06-17,83.0,microgr/L,300.0,27.67,1
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,MTBE, MTBE,MTBE,2024-06-17,5.0,microgr/L,40.0,12.5,1
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,Toluene,TOLUENE,TOLUENE,2024-06-17,5.0,microgr/L,700.0,0.71,1
נד_פז_סיירים_4,נד פז סיירים 4,FUEL,Xylene,XYLENE,XYLENE,2024-06-17,416.0,microgr/L,500.0,83.2,3
נד_פז_סיירים_4,נד פז סיירים 4,METALS,Arsenic,ARSENIC AS AS,ARSENIC AS AS,2021-04-20,0.0,microgr/L,10.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,Cadmium,CADMIUM AS CD,CADMIUM AS CD,2021-04-20,0.0,microgr/L,5.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,Carbon Tetrachloride,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2021-04-20,0.0,microgr/L,4.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,Chloroform,CHLOROFORM,CHLOROFORM,2021-04-20,0.0,microgr/L,80.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,Chromium,CHROMIUM AS CR,CHROMIUM AS CR,2021-04-20,2.5,microgr/L,50.0,5.0,1
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"cis-1,2-DCE","CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2021-04-20,0.0,microgr/L,50.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"1,2-DCA","DICHLOROETHANE1,2","DICHLOROETHANE1,2",2021-04-20,0.0,microgr/L,4.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"1,1-DCE","DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2021-04-20,0.0,microgr/L,10.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,Lead,LEAD AS PB,LEAD AS PB,2021-04-20,0.0,microgr/L,10.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,METALS,Nickel,NICKEL AS NI,NICKEL AS NI,2021-04-20,240.38,microgr/L,20.0,1201.9,4
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,PCE,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2021-04-20,0.0,microgr/L,10.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,"trans-1,2-DCE","TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2021-04-20,0.0,microgr/L,50.0,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,TCE,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2021-04-20,0.0,microgr/L,7.5,0.0,0
נד_פז_סיירים_4,נד פז סיירים 4,INDUSTRY,Vinyl Chloride,VINYL CHLORIDE,VINYL CHLORIDE,2021-04-20,0.0,microgr/L,0.5,0.0,0
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,Benzene,BENZENE,BENZENE,2025-05-25,5.0,microgr/L,5.0,100.0,4
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2025-05-25,5.0,microgr/L,300.0,1.67,1
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,MTBE, MTBE,MTBE,2025-05-25,12.0,microgr/L,40.0,30.0,1
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,Toluene,TOLUENE,TOLUENE,2025-05-25,5.0,microgr/L,700.0,0.71,1
נד_פז_סיירים_3,נד פז סיירים 3,FUEL,Xylene,XYLENE,XYLENE,2025-05-25,5.0,microgr/L,500.0,1.0,1
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,Arsenic,ARSENIC AS AS,ARSENIC AS AS,2023-08-13,0.0,microgr/L,10.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,Benzene,BENZENE,BENZENE,2024-11-18,0.0,microgr/L,5.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,Cadmium,CADMIUM AS CD,CADMIUM AS CD,2023-08-13,0.0,microgr/L,5.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,Chloroform,CHLOROFORM,CHLOROFORM,2024-11-18,0.0,microgr/L,80.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,Chromium,CHROMIUM AS CR,CHROMIUM AS CR,2023-08-13,0.0,microgr/L,50.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"cis-1,2-DCE","CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2024-11-18,0.0,microgr/L,50.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"1,1-DCE","DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2024-11-18,0.0,microgr/L,10.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2024-11-18,0.0,microgr/L,300.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,Lead,LEAD AS PB,LEAD AS PB,2023-08-13,0.0,microgr/L,10.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,MTBE, MTBE,MTBE,2024-11-18,0.0,microgr/L,40.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,METALS,Nickel,NICKEL AS NI,NICKEL AS NI,2023-08-13,13.8,microgr/L,20.0,69.0,3
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,PCE,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2024-11-18,1.0,microgr/L,10.0,10.0,1
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,Toluene,TOLUENE,TOLUENE,2024-11-18,1.0,microgr/L,700.0,0.14,1
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"trans-1,2-DCE","TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2024-11-18,1.0,microgr/L,50.0,2.0,1
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,TCE,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2024-11-18,1.0,microgr/L,7.5,13.33,1
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,Vinyl Chloride,VINYL CHLORIDE,VINYL CHLORIDE,2024-11-18,0.0,microgr/L,0.5,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,FUEL,Xylene,XYLENE,XYLENE,2024-11-18,3.0,microgr/L,500.0,0.6,1
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"1,4-Dioxane","1,4 DIOXANE","1,4 DIOXANE",2026-02-10,0.0,microgr/L,3.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,Carbon Tetrachloride,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2024-11-18,0.0,microgr/L,4.0,0.0,0
נת_ארן__מטל_חולון,נת ארן  מטל חולון,INDUSTRY,"1,2-DCA","DICHLOROETHANE1,2","DICHLOROETHANE1,2",2024-11-18,0.0,microgr/L,4.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,Arsenic,ARSENIC AS AS,ARSENIC AS AS,2023-08-13,0.0,microgr/L,10.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,Benzene,BENZENE,BENZENE,2024-11-18,0.0,microgr/L,5.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,Cadmium,CADMIUM AS CD,CADMIUM AS CD,2023-08-13,0.0,microgr/L,5.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,Chloroform,CHLOROFORM,CHLOROFORM,2024-11-18,1.0,microgr/L,80.0,1.25,1
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,Chromium,CHROMIUM AS CR,CHROMIUM AS CR,2023-08-13,0.0,microgr/L,50.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"cis-1,2-DCE","CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2024-11-18,2.632,microgr/L,50.0,5.26,1
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"1,1-DCE","DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2024-11-18,1.853,microgr/L,10.0,18.53,1
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2024-11-18,0.0,microgr/L,300.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,Lead,LEAD AS PB,LEAD AS PB,2023-08-13,0.0,microgr/L,10.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,MTBE, MTBE,MTBE,2024-11-18,0.0,microgr/L,40.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,METALS,Nickel,NICKEL AS NI,NICKEL AS NI,2023-08-13,0.0,microgr/L,20.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,PCE,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2024-11-18,3.607,microgr/L,10.0,36.07,2
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,Toluene,TOLUENE,TOLUENE,2024-11-18,1.0,microgr/L,700.0,0.14,1
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"trans-1,2-DCE","TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2024-11-18,1.0,microgr/L,50.0,2.0,1
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,TCE,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2024-11-18,85.414,microgr/L,7.5,1138.85,4
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,Vinyl Chloride,VINYL CHLORIDE,VINYL CHLORIDE,2024-11-18,0.0,microgr/L,0.5,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,FUEL,Xylene,XYLENE,XYLENE,2024-11-18,0.0,microgr/L,500.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"1,4-Dioxane","1,4 DIOXANE","1,4 DIOXANE",2026-02-10,0.0,microgr/L,3.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,Carbon Tetrachloride,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2024-11-18,0.0,microgr/L,4.0,0.0,0
נת_ארן_מטל_חולון_1,נת ארן מטל חולון 1,INDUSTRY,"1,2-DCA","DICHLOROETHANE1,2","DICHLOROETHANE1,2",2024-11-18,0.0,microgr/L,4.0,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,Benzene,BENZENE,BENZENE,2022-07-17,1.0,microgr/L,5.0,20.0,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,Carbon Tetrachloride,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2022-07-17,0.0,microgr/L,4.0,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,Chloroform,CHLOROFORM,CHLOROFORM,2022-07-17,0.0,microgr/L,80.0,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"cis-1,2-DCE","CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2022-07-17,0.0,microgr/L,50.0,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"1,2-DCA","DICHLOROETHANE1,2","DICHLOROETHANE1,2",2022-07-17,0.0,microgr/L,4.0,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"1,1-DCE","DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2022-07-17,0.0,microgr/L,10.0,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2022-07-17,1.0,microgr/L,300.0,0.33,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,MTBE, MTBE,MTBE,2022-07-17,1.0,microgr/L,40.0,2.5,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,PCE,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2022-07-17,4.0,microgr/L,10.0,40.0,2
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,Toluene,TOLUENE,TOLUENE,2022-07-17,1.0,microgr/L,700.0,0.14,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,"trans-1,2-DCE","TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2022-07-17,0.0,microgr/L,50.0,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,TCE,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2022-07-17,1.0,microgr/L,7.5,13.33,1
נד_סונול_מרכבה_1,נד סונול מרכבה 1,INDUSTRY,Vinyl Chloride,VINYL CHLORIDE,VINYL CHLORIDE,2022-07-17,0.0,microgr/L,0.5,0.0,0
נד_סונול_מרכבה_1,נד סונול מרכבה 1,FUEL,Xylene,XYLENE,XYLENE,2022-07-17,3.0,microgr/L,500.0,0.6,1
נת_חולון_13,נת חולון 13,INDUSTRY,"1,4-Dioxane","1,4 DIOXANE","1,4 DIOXANE",2026-02-10,0.0,microgr/L,3.0,0.0,0
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,Benzene,BENZENE,BENZENE,2025-05-25,5.0,microgr/L,5.0,100.0,4
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2025-05-25,5.0,microgr/L,300.0,1.67,1
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,MTBE, MTBE,MTBE,2025-05-25,5.0,microgr/L,40.0,12.5,1
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,Toluene,TOLUENE,TOLUENE,2025-05-25,5.0,microgr/L,700.0,0.71,1
נד_פז_סיירים_1,נד פז סיירים 1,FUEL,Xylene,XYLENE,XYLENE,2025-05-25,5.0,microgr/L,500.0,1.0,1
מק_חולון_14,מק חולון 14,INDUSTRY,TCE,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2025-11-12,6.64,microgr/L,7.5,88.53,3
מק_חולון_14,מק חולון 14,INDUSTRY,Carbon Tetrachloride,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2025-11-12,0.2,microgr/L,4.0,5.0,1
מק_חולון_14,מק חולון 14,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2021-07-04,0.0,microgr/L,300.0,0.0,0
מק_חולון_14,מק חולון 14,INDUSTRY,PCE,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2021-07-04,0.0,microgr/L,10.0,0.0,0
מק_חולון_14,מק חולון 14,FUEL,Toluene,TOLUENE,TOLUENE,2021-07-04,0.0,microgr/L,700.0,0.0,0
מק_חולון_14,מק חולון 14,FUEL,Xylene,XYLENE,XYLENE,2021-07-04,0.0,microgr/L,500.0,0.0,0
מק_חולון_14,מק חולון 14,FUEL,Benzene,BENZENE,BENZENE,2021-07-04,0.0,microgr/L,5.0,0.0,0
מק_חולון_14,מק חולון 14,INDUSTRY,Chloroform,CHLOROFORM,CHLOROFORM,2021-07-04,0.0,microgr/L,80.0,0.0,0
מק_חולון_14,מק חולון 14,INDUSTRY,"cis-1,2-DCE","CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2021-07-04,0.0,microgr/L,50.0,0.0,0
מק_חולון_14,מק חולון 14,INDUSTRY,"1,2-DCA","DICHLOROETHANE1,2","DICHLOROETHANE1,2",2021-07-04,0.0,microgr/L,4.0,0.0,0
מק_חולון_14,מק חולון 14,INDUSTRY,"1,1-DCE","DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2025-11-12,0.44,microgr/L,10.0,4.4,1
מק_חולון_14,מק חולון 14,FUEL,MTBE, MTBE,MTBE,2021-07-04,0.0,microgr/L,40.0,0.0,0
מק_חולון_14,מק חולון 14,INDUSTRY,"trans-1,2-DCE","TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2021-07-04,0.0,microgr/L,50.0,0.0,0
מק_חולון_14,מק חולון 14,INDUSTRY,Vinyl Chloride,VINYL CHLORIDE,VINYL CHLORIDE,2021-07-04,0.0,microgr/L,0.5,0.0,0
מק_חולון_14,מק חולון 14,PFAS,PFAS-other,Per-FluoroOctaneSulfonate,Per-FluoroOctaneSulfonate,2024-06-17,0.0,microgr/L,0.1,0.0,0
מק_חולון_14,מק חולון 14,PFAS,PFAS-other,Per-FluoroOctanoic Acid,Per-FluoroOctanoic Acid,2024-06-17,0.0,microgr/L,0.1,0.0,0
מק_חולון_14,מק חולון 14,METALS,Arsenic,ARSENIC AS AS,ARSENIC AS AS,2021-07-04,0.9,microgr/L,10.0,9.0,1
מק_חולון_14,מק חולון 14,METALS,Cadmium,CADMIUM AS CD,CADMIUM AS CD,2021-07-04,0.0,microgr/L,5.0,0.0,0
מק_חולון_14,מק חולון 14,METALS,Chromium,CHROMIUM AS CR,CHROMIUM AS CR,2021-07-04,7.1,microgr/L,50.0,14.2,1
מק_חולון_14,מק חולון 14,METALS,Lead,LEAD AS PB,LEAD AS PB,2021-07-04,0.0,microgr/L,10.0,0.0,0
מק_חולון_14,מק חולון 14,METALS,Mercury,MERCURY AS HG,MERCURY AS HG,2021-07-04,0.0,microgr/L,1.0,0.0,0
מק_חולון_14,מק חולון 14,METALS,Nickel,NICKEL AS NI,NICKEL AS NI,2021-07-04,0.0,microgr/L,20.0,0.0,0
מק_חולון_14,מק חולון 14,PFAS,PFAS-other,Perfluorobutane Sulfonic Acid,Perfluorobutane Sulfonic Acid,2024-06-17,0.0,microgr/L,0.1,0.0,0
מק_חולון_14,מק חולון 14,PFAS,PFAS-other,Perfluoroheptanoic acid,Perfluoroheptanoic acid,2024-06-17,0.0,microgr/L,0.1,0.0,0
מק_חולון_14,מק חולון 14,PFAS,PFAS-other,Perfluorohexanesulfonic acid,Perfluorohexanesulfonic acid,2024-06-17,0.0,microgr/L,0.1,0.0,0
מק_חולון_14,מק חולון 14,PFAS,PFAS-other,Perfluorohexanoic acid,Perfluorohexanoic acid,2024-06-17,0.0,microgr/L,0.1,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"1,4-Dioxane","1,4 DIOXANE","1,4 DIOXANE",2020-09-21,1.1,microgr/L,3.0,36.67,2
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,Arsenic,ARSENIC AS AS,ARSENIC AS AS,2020-09-21,0.0,microgr/L,10.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,Benzene,BENZENE,BENZENE,2020-09-21,0.0,microgr/L,5.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,Cadmium,CADMIUM AS CD,CADMIUM AS CD,2020-09-21,2.5,microgr/L,5.0,50.0,2
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,Carbon Tetrachloride,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2020-09-21,0.0,microgr/L,4.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,Chloroform,CHLOROFORM,CHLOROFORM,2020-09-21,1.0,microgr/L,80.0,1.25,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,Chromium,CHROMIUM AS CR,CHROMIUM AS CR,2020-09-21,8.275,microgr/L,50.0,16.55,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"cis-1,2-DCE","CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2020-09-21,1.0,microgr/L,50.0,2.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"1,2-DCA","DICHLOROETHANE1,2","DICHLOROETHANE1,2",2020-09-21,0.0,microgr/L,4.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"1,1-DCE","DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2020-09-21,0.0,microgr/L,10.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2020-09-21,0.0,microgr/L,300.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,Lead,LEAD AS PB,LEAD AS PB,2020-09-21,0.0,microgr/L,10.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,MTBE, MTBE,MTBE,2020-09-21,0.0,microgr/L,40.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,METALS,Nickel,NICKEL AS NI,NICKEL AS NI,2020-09-21,0.0,microgr/L,20.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,PCE,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2020-09-21,1.0,microgr/L,10.0,10.0,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,Toluene,TOLUENE,TOLUENE,2020-09-21,0.0,microgr/L,700.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,"trans-1,2-DCE","TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2020-09-21,0.0,microgr/L,50.0,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,TCE,TRICHLORO ETHYLENE,TRICHLORO ETHYLENE,2020-09-21,1.964,microgr/L,7.5,26.19,1
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,INDUSTRY,Vinyl Chloride,VINYL CHLORIDE,VINYL CHLORIDE,2020-09-21,0.0,microgr/L,0.5,0.0,0
נת_מוסך_קטרפילר_חולון,נת מוסך קטרפילר חולון,FUEL,Xylene,XYLENE,XYLENE,2020-09-21,0.0,microgr/L,500.0,0.0,0
נת_חולון_6,נת חולון 6,INDUSTRY,"1,4-Dioxane","1,4 DIOXANE","1,4 DIOXANE",2023-01-12,0.7,microgr/L,3.0,23.33,1
נת_חולון_6,נת חולון 6,METALS,Arsenic,ARSENIC AS AS,ARSENIC AS AS,2023-01-12,0.0,microgr/L,10.0,0.0,0
נת_חולון_6,נת חולון 6,FUEL,Benzene,BENZENE,BENZENE,2023-01-12,1.0,microgr/L,5.0,20.0,1
נת_חולון_6,נת חולון 6,METALS,Cadmium,CADMIUM AS CD,CADMIUM AS CD,2023-01-12,0.0,microgr/L,5.0,0.0,0
נת_חולון_6,נת חולון 6,INDUSTRY,Carbon Tetrachloride,CARBON TETRACHLORIDE,CARBON TETRACHLORIDE,2023-01-12,0.0,microgr/L,4.0,0.0,0
נת_חולון_6,נת חולון 6,INDUSTRY,Chloroform,CHLOROFORM,CHLOROFORM,2023-01-12,0.0,microgr/L,80.0,0.0,0
נת_חולון_6,נת חולון 6,METALS,Chromium,CHROMIUM AS CR,CHROMIUM AS CR,2023-01-12,0.0,microgr/L,50.0,0.0,0
נת_חולון_6,נת חולון 6,INDUSTRY,"cis-1,2-DCE","CIS 1,2 DICHLOROETHYLENE","CIS 1,2 DICHLOROETHYLENE",2023-01-12,0.0,microgr/L,50.0,0.0,0
נת_חולון_6,נת חולון 6,INDUSTRY,"1,2-DCA","DICHLOROETHANE1,2","DICHLOROETHANE1,2",2023-01-12,0.0,microgr/L,4.0,0.0,0
נת_חולון_6,נת חולון 6,INDUSTRY,"1,1-DCE","DICHLOROETHYLENE 1,1","DICHLOROETHYLENE 1,1",2023-01-12,1.116,microgr/L,10.0,11.16,1
נת_חולון_6,נת חולון 6,FUEL,Benzene,ETHYL BENZENE,ETHYL BENZENE,2023-01-12,0.0,microgr/L,300.0,0.0,0
נת_חולון_6,נת חולון 6,METALS,Lead,LEAD AS PB,LEAD AS PB,2023-01-12,0.0,microgr/L,10.0,0.0,0
נת_חולון_6,נת חולון 6,FUEL,MTBE, MTBE,MTBE,2023-01-12,0.0,microgr/L,40.0,0.0,0
נת_חולון_6,נת חולון 6,METALS,Nickel,NICKEL AS NI,NICKEL AS NI,2023-01-12,0.0,microgr/L,20.0,0.0,0
נת_חולון_6,נת חולון 6,INDUSTRY,PCE,TETRACHLORO ETHYLENE,TETRACHLORO ETHYLENE,2023-01-12,0.0,microgr/L,10.0,0.0,0
נת_חולון_6,נת חולון 6,FUEL,Toluene,TOLUENE,TOLUENE,2023-01-12,1.0,microgr/L,700.0,0.14,1
נת_חולון_6,נת חולון 6,INDUSTRY,"trans-1,2-DCE","TRANS-1,2 DICHLOROETHYLENE","TRANS-1,2 DICHLOROETHYLENE",2023-01-12,0.0,microgr/L,50.0,0.0,0
