parameter_name,family,unit,drinking_water_standard,has_dws,excluded_from_analysis,zones_present,measurement_count_holon,measurement_count_raanana,max_severity_index_holon,trend_alerts_holon,trend_watches_holon,param_codes_raanana
"1,1,1,2-tetrachloroethane",CVOC,µg/L,,N,N,Holon;Raanana,88,14,0,,,TEC12
"1,1,2,2-tetrachloroethane",CVOC,µg/L,,N,N,Holon;Raanana,85,14,0,,,TEC22
"1,1,2-trichloroethane",CVOC,µg/L,5.0,Y,N,Holon;Raanana,161,23,5,,,TCEN
"1,1-dichloroethane",CVOC,µg/L,,N,N,Holon;Raanana,187,29,0,,,DCET1
"1,1-Dichloropropane",CVOC,µg/L,,N,N,Holon;Raanana,9,1,0,,,DCP11
"1,1-dichloropropene",CVOC,µg/L,,N,N,Holon;Raanana,12,2,0,,,DCHP1
"1,2,3-trichlorobenzene",CVOC,µg/L,,N,N,Holon;Raanana,129,23,0,,,TRBN3
"1,2,3-trichloropropane",CVOC,µg/L,,N,N,Holon;Raanana,113,17,0,,,TRPR3
"1,2,4-trichlorobenzene",CVOC,µg/L,70.0,Y,N,Holon;Raanana,135,23,0,,,TRBN4
"1,2-dichloropropane",CVOC,µg/L,5.0,Y,N,Holon;Raanana,138,26,4,,,DCPN
"1,3-dichlorobenzene",CVOC,µg/L,,N,N,Holon;Raanana,128,23,0,,,DCB13
"1,3-dichloropropane",CVOC,µg/L,,N,N,Holon;Raanana,53,10,0,,,DCP13
"1,3-Dichloropropene (e) CIS",CVOC,µg/L,,N,N,Holon;Raanana,52,10,0,,,DP13E
"1,3-Dichloropropene (z) TRANS",CVOC,µg/L,,N,N,Holon;Raanana,52,10,0,,,DP13T
"1,4 DIOXANE",CVOC,µg/L,3.0,Y,N,Holon,43,,8,,,
"2,2-dichloropropane",CVOC,µg/L,,N,N,Holon;Raanana,52,10,0,,,DCP22
Bromo dichloromethane,CVOC,µg/L,,N,N,Holon;Raanana,61,10,0,,,BRDCM
bromochloromethane,CVOC,µg/L,,N,N,Holon;Raanana,60,10,0,,,BRCM
CARBON TETRACHLORIDE,CVOC,µg/L,4.0,Y,N,Holon;Raanana,219,29,3,,,CCL4
Chloroethane,CVOC,µg/L,,N,N,Holon;Raanana,144,23,0,,,CHLET
CHLOROFORM,CVOC,µg/L,80.0,Y,N,Holon;Raanana,249,40,6,,,CHLF
Chloromethane,CVOC,µg/L,,N,N,Holon;Raanana,118,17,0,,,CHLMT
"CIS 1,2 DICHLOROETHYLENE",CVOC,µg/L,50.0,Y,N,Holon;Raanana,239,35,6,,,CDCE
"CIS+ TRANS 1,2 DICHLOROETHELYENE",CVOC,µg/L,,N,N,Holon,17,,0,,,
